คำ	ว	มว	พญ	สร	วณ
พูดเป็นน้ำไหลไฟดับ	18	18	10	7	1
ภาษาคำควบมากพยางค์	18	18	12	5	0
ภูมิศาสตร์การเกษตร	18	18	12	5	0
ภูมิศาสตร์การเมือง	18	18	11	6	0
ภูมิศาสตร์เศรษฐกิจ	18	18	12	5	0
แม่กองธรรมสนามหลวง	18	18	15	2	1
แม่กองบาลีสนามหลวง	18	18	13	4	1
ไม่รู้อีโหน่อีเหน่	18	18	8	6	4
ไม่เหลือบ่ากว่าแรง	18	18	9	6	3
ไม่ได้เบี้ยออกข้าว	18	18	9	5	4
ไม่ได้เบี้ยเอาข้าว	18	18	7	7	4
ไม่ได้เรื่องได้ราว	18	18	8	6	4
ยืมจมูกคนอื่นหายใจ	18	18	12	5	1
ยุ่งเหมือนยุงตีกัน	18	18	11	6	1
ร่วมเรียงเคียงหมอน	18	18	13	4	1
รอดปากเหยี่ยวปากกา	18	18	12	5	1
ร้อยเอ็ดเจ็ดพระนคร	18	18	12	5	1
รังเกียจเดียดฉันท์	18	18	11	6	0
รัฐมนตรีเจ้าสังกัด	18	18	11	6	1
รับรองเพื่อแก้หน้า	18	18	10	5	3
ราชการส่วนท้องถิ่น	18	18	12	3	3
รู้จักที่ต่ำที่สูง	18	18	8	6	4
รู้จักเก็บรู้จักงำ	18	18	9	7	2
รู้เท่าไม่ถึงการณ์	18	18	8	6	3
เรียกประกันทัณฑ์บน	18	18	12	5	0
เรือกวาดทุ่นระเบิด	18	18	10	7	1
เรือพระที่นั่งกราบ	18	18	10	6	2
เรือพระที่นั่งกิ่ง	18	18	9	6	3
ลิ้นกระด้างคางแข็ง	18	18	10	6	2
เล่นเอาเถิดเจ้าล่อ	18	18	8	7	3
เลือดล้างด้วยเลือด	18	18	11	5	2
วันจาตุรงคสันนิบาต	18	18	12	6	0
วันพระไม่มีหนเดียว	18	18	11	6	1
วิ่งกระโดดข้ามรั้ว	18	18	10	5	3
สร้างเนื้อสร้างตัว	18	18	10	5	3
สะบัดร้อนสะบัดหนาว	18	18	12	5	1
สามเหลี่ยมด้านเท่า	18	18	9	6	3
สามเหลี่ยมหน้าจั่ว	18	18	10	5	3
สิ่งละอันพันละน้อย	18	18	11	5	2
สิ้นเขี้ยวสิ้นเล็บ	18	18	9	6	3
สี่เหลี่ยมด้านขนาน	18	18	10	5	3
สู้เหมือนหมาจนตรอก	18	18	13	4	1
เสียงอ่อนเสียงหวาน	18	18	12	5	1
เสียงเล็กเสียงน้อย	18	18	11	6	1
เสียเลือดเสียเนื้อ	18	18	9	8	1
เสือจนท่า ข้าจนทาง	18	17	10	5	2
หน้าทับเฉพาะประเภท	18	18	10	7	1
หน้าอินทร์หน้าพรหม	18	18	12	3	2
หนี้เกลื่อนกลืนกัน	18	18	11	5	2
หม้อข้าวหม้อแกงลิง	18	18	12	3	3
หลักฐานเป็นหนังสือ	18	18	12	6	0
หากินตัวเป็นเกลียว	18	18	11	7	0
เหยียบขี้ไก่ไม่ฝ่อ	18	18	9	5	4
องค์การสหประชาชาติ	18	18	12	5	0
อนุสาสนีปาฏิหาริย์	18	18	10	7	0
เอาใจเขามาใส่ใจเรา	18	18	7	10	1
เอาไม้สั้นไปรันขี้	18	18	8	7	3
กฎบัตรสหประชาชาติ	17	17	12	5	0
กรมธรรม์ประกันภัย	17	17	13	3	0
กระต่ายหมายจันทร์	17	17	11	4	1
กระบวนการยุติธรรม	17	17	13	4	0
กระเบื้องกาบกล้วย	17	17	11	4	2
กระเหม็ดกระเหมียด	17	17	11	6	0
กลิ้งเป็นลูกมะนาว	17	17	10	6	1
กองทุนประกันสังคม	17	17	13	4	0
กังหันน้ำชัยพัฒนา	17	17	10	6	1
การประกอบโรคศิลปะ	17	17	12	5	0
กุสุมิตลดาเวลลิตา	17	17	10	7	0
เก็บดอกไม้ร่วมต้น	17	17	11	3	3
เกี่ยวดองหนองยุ่ง	17	17	12	3	2
แกว่งเท้าหาเสี้ยน	17	17	8	6	3
ขนมเทียนใบตองแห้ง	17	17	12	4	1
ขนหน้าแข้งไม่ร่วง	17	17	10	3	4
ขบเขี้ยวเคี้ยวฟัน	17	17	10	5	2
ข้อกำหนดพินัยกรรม	17	17	13	3	1
ข้าวสารข้าวเหนียว	17	17	10	5	2
ข้าวเกรียบปากหม้อ	17	17	11	4	2
ข้าเก่าเต่าเลี้ยง	17	17	6	7	4
ขี่ช้างจับตั๊กแตน	17	17	9	5	3
เข็ดขี้อ่อนขี้แก่	17	17	8	5	4
คดในข้องอในกระดูก	17	17	12	4	1
คลังสินค้าทัณฑ์บน	17	17	11	4	1
ความผิดต่อส่วนตัว	17	17	12	3	2
คอนกรีตเสริมเหล็ก	17	17	12	5	0
คู่เคียงเรียงหมอน	17	17	11	5	1
คู่เรียงเคียงหมอน	17	17	11	5	1
เคราะห์ซ้ำกรรมซัด	17	17	10	5	1
เคราะห์หามยามร้าย	17	17	9	6	1
เครื่องปั้นดินเผา	17	17	9	6	2
เครื่องหมายการค้า	17	17	10	5	2
เคียงบ่าเคียงไหล่	17	17	9	6	2
เงินได้พึงประเมิน	17	17	9	7	1
จับมือใครดมไม่ได้	17	17	10	5	2
เจ้าหน้าที่ของรัฐ	17	17	9	5	3
ชักหน้าไม่ถึงหลัง	17	17	10	5	2
ชั่วหม้อข้าวเดือด	17	17	10	4	3
ชั่วเคี้ยวหมากจืด	17	17	10	5	2
ชื่อเสียงเรียงนาม	17	17	10	6	1
เชิงกระยาดอกเบี้ย	17	17	10	6	1
ดวงเดือนประดับดาว	17	17	12	5	0
เด็ดดอกไม้ร่วมต้น	17	17	11	3	3
เด็ดดอกไม่ไว้ขั้ว	17	17	9	5	3
แดนแห่งกรรมสิทธิ์	17	17	11	4	1
ตักบาตรอย่าถามพระ	17	17	11	5	1
ตัวแทนประกันชีวิต	17	17	11	6	0
ตามใจปากลำบากท้อง	17	17	11	5	1
ตายโดยผิดธรรมชาติ	17	17	12	5	0
ตำข้าวสารกรอกหม้อ	17	17	12	3	2
ติดยาเสพติดให้โทษ	17	17	10	6	1
เต็มเม็ดเต็มหน่วย	17	17	10	6	1
ใต้ฝ่าละอองพระบาท	17	17	10	5	2
ทรงพระเครื่องใหญ่	17	17	11	4	2
ท้องยุ้งพุงกระสอบ	17	17	12	3	2
ทะเบียนสำมะโนครัว	17	17	10	7	0
ที่เท่าแมวดิ้นตาย	17	17	8	6	3
เทียมบ่าเทียมไหล่	17	17	9	6	2
ธงชัยพระครุฑพ่าห์	17	17	11	4	1
ธงชัยราชกระบี่ธุช	17	17	11	5	1
นารายณ์ทรงเครื่อง	17	17	11	4	1
นิรุตติปฏิสัมภิทา	17	17	10	7	0
นุ่งเจียมห่มเจียม	17	17	10	5	2
บอกหนังสือสังฆราช	17	17	13	4	0
บุญหนักศักดิ์ใหญ่	17	17	10	5	1
ปล้นบ้านปล้นเมือง	17	17	11	3	3
ปลาหมอตายเพราะปาก	17	17	11	6	0
ปลาใหญ่กินปลาเล็ก	17	17	10	6	1
ปากหวานก้นเปรี้ยว	17	17	11	4	2
เป็นกลุ่มเป็นก้อน	17	17	10	5	2
เป็นทุกข์เป็นร้อน	17	17	10	5	1
เป็นมั่นเป็นเหมาะ	17	17	8	8	1
เป็นหลักเป็นแหล่ง	17	17	10	6	1
เป็นเนื้อเป็นหนัง	17	17	9	7	1
แปรรูปรัฐวิสาหกิจ	17	17	11	6	0
ผัดวันประกันพรุ่ง	17	17	11	5	1
ผู้ตรวจการแผ่นดิน	17	17	11	4	2
ผู้บริหารท้องถิ่น	17	17	10	4	3
ผู้รับบุตรบุญธรรม	17	17	12	4	1
ผู้ใช้อำนาจปกครอง	17	17	11	4	2
ฝนทั่งให้เป็นเข็ม	17	17	9	6	2
พระจันทร์ครึ่งซีก	17	17	11	4	1
พระเจ้าห้าพระองค์	17	17	9	5	2
พานพระขันหมากเสวย	17	17	12	5	0
พิกัดอัตราศุลกากร	17	17	11	6	0
เพลงออกสิบสองภาษา	17	17	13	4	0
ภูมิลำเนาเฉพาะการ	17	17	8	9	0
ภูมิศาสตร์ประชากร	17	17	11	5	0
ภูมิศาสตร์ประวัติ	17	17	10	6	0
มีตาแต่หามีแววไม่	17	17	8	7	2
เมื่อเอยเมื่อนั้น	17	17	8	6	3
แม่กระชังหน้าใหญ่	17	17	9	5	3
แม่ม่ายทรงเครื่อง	17	17	10	4	3
แมลงจิ้มฟันจระเข้	17	17	10	5	2
ไม้หลักปักขี้ควาย	17	17	10	5	2
ไม่เป็นโล้เป็นพาย	17	17	8	7	2
ยั้งคิดประดิษฐ์รำ	17	17	10	5	1
ย่ำเท้าอยู่กับที่	17	17	7	6	4
